experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;case_rmse;case_count;case_r2;case_mape;case_mape0;case_top_decile_accuracy;case_top_decile_f1;case_top_decile_precision;case_top_decile_recall;case_bottom_decile_accuracy;case_bottom_decile_f1;case_bottom_decile_precision;case_bottom_decile_recall;dataset;clustering_parameter_type;clustering_parameter;clustering_method;model_type;prediction_activity;target_activity
AHOT_native_100_rho;1.920805222857651;0.022788556782353347;3273.270473964187;0.12906732453108885;0.12906732453108885;1.9189815448813865;40.87552583174924;27.788119359000856;0.23358701624717407;0.23358701624717407;0.013287311697754465;0.024036578179417997;0.024036578179417997;0.024036578179417997;0.01182295849714527;0.021437013995572723;0.021437013995572723;0.021437013995572723;bpic2019;cluster_size;100;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_101_rho;1.8646601484580732;0.021459515512400766;3913.937545596143;0.12586163667197875;0.12586163667197875;1.870596803982366;40.87552583174924;24.86798153208221;0.22762342247424644;0.22762342247424644;0.013289707927473235;0.024040698379332273;0.024040698379332273;0.024040698379332273;0.01182288175136437;0.021436832160741104;0.021436832160741104;0.021436832160741104;bpic2019;cluster_size;101;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_102_rho;1.8698212798048703;0.021459515512400766;3923.6335959573366;0.1265636021982969;0.1265636021982969;1.873522847260515;40.87552583174924;25.112401078453306;0.22907623866144108;0.22907623866144108;0.01328815545238081;0.02403825802562154;0.02403825802562154;0.02403825802562154;0.011822329566074872;0.021435902642800403;0.021435902642800403;0.021435902642800403;bpic2019;cluster_size;102;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_103_rho;1.8851292214477016;0.021459515512400766;3867.2365863550526;0.12712161347161266;0.12712161347161266;1.8892597363830417;40.87552583174924;26.473186849231183;0.22990772178943944;0.22990772178943944;0.013289707927473235;0.024040698379332273;0.024040698379332273;0.024040698379332273;0.01182288175136437;0.021436832160741104;0.021436832160741104;0.021436832160741104;bpic2019;cluster_size;103;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_104_rho;2.1236287752196565;0.021459515512400766;14369.467742777151;0.14069053092699832;0.14069053092699832;2.107269542765924;40.87552583174924;47.803088324941015;0.23912567712289043;0.23912567712289043;0.0132892980196499;0.02404042873357943;0.02404042873357943;0.02404042873357943;0.011814654073545991;0.021422430888438093;0.021422430888438093;0.021422430888438093;bpic2019;cluster_size;104;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_105_rho;2.122206873611022;0.021459515512400766;14389.75099775953;0.14003145379069526;0.14003145379069526;2.1063214625038738;40.87552583174924;47.199770536074396;0.24334126504604914;0.24334126504604914;0.013286132392883029;0.024034578871359683;0.024034578871359683;0.024034578871359683;0.011815209173659115;0.021423365563299244;0.021423365563299244;0.021423365563299244;bpic2019;cluster_size;105;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_106_rho;2.1187045004501504;0.020756698909512056;15815.542612933341;0.14243412753745746;0.14243412753745746;2.1049105319436827;40.87552583174924;49.53596858997214;0.2403571698770996;0.2403571698770996;0.013288515210707919;0.02403874728805309;0.02403874728805309;0.02403874728805309;0.011815209173659115;0.021423365563299244;0.021423365563299244;0.021423365563299244;bpic2019;cluster_size;106;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_107_rho;2.1144027310467064;0.020756698909512056;15781.168992252922;0.14275552477646025;0.14275552477646025;2.0998496896760086;40.87552583174924;49.148414581312146;0.2397967416909866;0.2397967416909866;0.013286951566391227;0.02403628697778622;0.02403628697778622;0.02403628697778622;0.011814654073545991;0.021422430888438093;0.021422430888438093;0.021422430888438093;bpic2019;cluster_size;107;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_108_rho;2.1029844098800354;0.020024800298811464;16623.89390495835;0.1425026324783191;0.1425026324783191;2.085935933599401;40.87552583174924;45.46715845493773;0.24224690226788628;0.24224690226788628;0.013288515210707919;0.02403874728805309;0.02403874728805309;0.02403874728805309;0.011815209173659115;0.021423365563299244;0.021423365563299244;0.021423365563299244;bpic2019;cluster_size;108;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_109_rho;2.102716208964906;0.020024800298811464;16618.683388969726;0.14281306531870921;0.14281306531870921;2.085312850547203;40.87552583174924;45.89774403892844;0.24094081759645208;0.24094081759645208;0.013286951566391227;0.02403628697778622;0.02403628697778622;0.02403628697778622;0.011814654073545991;0.021422430888438093;0.021422430888438093;0.021422430888438093;bpic2019;cluster_size;109;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_10_rho;1.8412382427613752;0.37462283317034095;336.0264254519077;0.12237241406528118;0.12237241406528118;1.6795040535365484;40.87552583174924;4.218795703625171;0.19559126467517876;0.19559126467517876;0.01217388610994182;0.022056481189870913;0.022056481189870913;0.022056481189870913;0.014065551656766866;0.025492563380740182;0.025492563380740182;0.025492563380740182;bpic2019;cluster_size;10;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_110_rho;2.1186548871254978;0.020024800298811464;16528.183047094495;0.14335080781284826;0.14335080781284826;2.0976283890057426;40.87552583174924;45.89423582929688;0.2414522151796349;0.2414522151796349;0.013291682900652241;0.02404460084620311;0.02404460084620311;0.02404460084620311;0.011814654073545991;0.021422430888438093;0.021422430888438093;0.021422430888438093;bpic2019;cluster_size;110;native;AHOT;Vendor creates invoice;Record Invoice Receipt
