metric;value
cluster_rmse;42.67228554128333
cluster_count;706496.0
cluster_r2;0.3445312680647743
cluster_mape;3.0768898177374944e+16
cluster_mape0;0.978294467784692
cluster_turnover;0.11662433940173218
consumer_id_rmse;44.54595838776098
consumer_id_count;716259.0
consumer_id_r2;0.2803574712602054
consumer_id_mape;3.254420228642904e+16
consumer_id_mape0;1.038854238699053
consumer_id_top_decile_accuracy;0.5074352426646676
consumer_id_top_decile_f1;0.11338219895287958
consumer_id_top_decile_precision;0.11338219895287958
consumer_id_top_decile_recall;0.11338219895287958
consumer_id_bottom_decile_accuracy;0.49980290893422585
consumer_id_bottom_decile_f1;0.09964397905759162
consumer_id_bottom_decile_precision;0.09964397905759162
consumer_id_bottom_decile_recall;0.09964397905759162
consumer_id_turnover;0.11572331338154289
