metric;value
cluster_rmse;20.98384477513863
cluster_count;1400.0
cluster_r2;-0.5082257668057393
cluster_mape;0.8674136432284869
cluster_mape0;0.8674136432284869
cluster_turnover;0.7105501000662585
consumer_id_rmse;55.09491220457553
consumer_id_count;846595.0
consumer_id_r2;-0.05254048683557544
consumer_id_mape;2.6547752511828692e+16
consumer_id_mape0;0.9726934341075739
consumer_id_top_decile_accuracy;0.5028555716603552
consumer_id_top_decile_f1;0.10513944176047438
consumer_id_top_decile_precision;0.10513944176047438
consumer_id_top_decile_recall;0.10513944176047438
consumer_id_bottom_decile_accuracy;0.4988525871400777
consumer_id_bottom_decile_f1;0.09793406489564016
consumer_id_bottom_decile_precision;0.09793406489564016
consumer_id_bottom_decile_recall;0.09793406489564016
consumer_id_turnover;0.7492966071821975
