metric;value
cluster_rmse;47.333759117312546
cluster_count;353248.0
cluster_r2;0.3316032326005187
cluster_mape;2.758649856767084e+16
cluster_mape0;1.130368330357253
cluster_turnover;0.14957580983114208
consumer_id_rmse;40.465560038729215
consumer_id_count;1083631.0
consumer_id_r2;0.28043905993158225
consumer_id_mape;3.773586104906318e+16
consumer_id_mape0;0.9630719090053396
consumer_id_top_decile_accuracy;0.5085192559043104
consumer_id_top_decile_f1;0.11533456991777637
consumer_id_top_decile_precision;0.11533456991777637
consumer_id_top_decile_recall;0.11533456991777637
consumer_id_bottom_decile_accuracy;0.5060942791979289
consumer_id_bottom_decile_f1;0.11096961139872466
consumer_id_bottom_decile_precision;0.11096961139872466
consumer_id_bottom_decile_recall;0.11096961139872466
consumer_id_turnover;0.028684982502630456
